file_name,S1_LOCAL_VAR_NOT_ASSIGNED,S14_TYPE_OF_FAULTY_STATEMENT_PARENT,S9_METHOD_CALL_WITH_NORMAL_GUARD,S2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,    S4_Field_NOT_USED,  S18_In_Synchronized_Method, S8_PRIMITIVE_USED_IN_ASSIGNMENT, S11_FAULTY_CLASS_EXCEPTION_TYPE, S16_HAS_Invocations_Prone_Exception,    S7_OBJECT_USED_IN_ASSIGNMENT, S5_SIMILAR_PRIMITIVE_TYPE_WITH_NULL_GUARD, LE10_ATOMIC_EXPRESSION_SAME_INVOCATION_TARGET, LE2_IS_BOOLEAN_METHOD_PARAM_TYPE_VAR,    LE5_COMPLEX_REFERENCE, LE10_ATOMIC_EXPRESSION_COMPARISION_SAME_LEFT, LE7_SIMPLE_VAR_OR_METHOD_IN_LOGIC, LE9_EQUAL_NOTEQUAL_NULL_CHECK, LE6_HAS_NEGATION,    LE1_EXISTS_RELATED_BOOLEAN_EXPRESSION, LE9_MIX_CHECK,LE3_IS_COMPATIBLE_VAR_NOT_INCLUDED,LE4_EXISTS_LOCAL_UNUSED_VARIABLES, LE10_ATOMIC_EXPRESSION_COMPARISION_SAME_RIGHT,    LE9_NORMAL_CHECK,LE10_ATOMIC_EXPRESSION_MULTIPLE_VAR_AS_BOOLEAN,LE10_ATOMIC_EXPRESSION_USED_IN_INVOCATION_COMPARISION_VARIABLE,LE10_CONTAINS_ALL_INVOCATION_COMPARISION_VARIABLE,    LE8_SCOPE_VAR_USED_OTHER_BOOLEXPER, S13_TYPE_OF_FAULTY_STATEMENT_BEFORE_2, S13_TYPE_OF_FAULTY_STATEMENT_BEFORE_1, V2_HAS_VAR_SIM_NAME_COMP_TYPE, V3_HAS_CONSTANT,    V9_VAR_TYPE_Similar_Literal, V13_VAR_Invocation_VAR_REPLACE_BY_INVOCATION, V1_IS_TYPE_COMPATIBLE_METHOD_CALL_PARAM_RETURN, V2_HAS_VAR_SIM_NAME, V18_Has_Method_Similar_In_Name,    V11_VAR_COMPATIBLE_TYPE_IN_CONDITION, V19_With_Special_Name, V16_IS_METHOD_PARAMETER_TYPE_VAR, V6_IS_METHOD_RETURN_TYPE_VAR, V12_VAR_Invocation_VAR_REPLACE_BY_VAR,     V8_VAR_PRIMITIVE, V5_HAS_VAR_IN_TRANSFORMATION,V15_VAR_LAST_THREE_SAME_TYPE_LOC,V8_VAR_OBJECT,V14_VAR_INSTANCE_OF_CLASS,V4B_USED_MULTIPLE_AS_PARAMETER,V10_VAR_TYPE_Similar_VAR,    V17_VAR_IS_ENUMERATION, S6_METHOD_THROWS_EXCEPTION, S13_TYPE_OF_FAULTY_STATEMENT_BEFORE_3, S12_METHOD_CALL_WITH_TRY_CATCH, S10_METHOD_CALL_WITH_NULL_GUARD, S5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,    S2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD, S4_Field_NOT_ASSIGNED, S13_TYPE_OF_FAULTY_STATEMENT_AFTER_1,S1_LOCAL_VAR_NOT_USED,S3_TYPE_OF_FAULTY_STATEMENT,S13_TYPE_OF_FAULTY_STATEMENT_AFTER_3,    S13_TYPE_OF_FAULTY_STATEMENT_AFTER_2,S15_HAS_OBJECTIVE_METHOD_CALL,operator, src_type, dst_type, src_parent_type,dst_parent_type,tool
Lang24,0,121,0,4,0,0,0,0,0,0,1,0,4,4,3,0,0,0,4,0,4,4,0,3,0,0,0,0,120,140,4,0,5,0,5,8,1,3,1,9,9,0,4,5,2,5,0,0,5,0,0,137,0,0,4,4,0,168,0,112,0,0,0,10,102,165,74,151,ACS
Lang35,1,86,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,6,0,2,7,7,0,0,0,0,7,0,0,5,0,0,0,1,0,0,0,0,0,0,65,0,0,1,2,56,114,18,114,ACS
Math35,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,10,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,4,4,112,228,36,228,ACS
Math5,1,243,1,5,0,0,0,0,0,0,0,0,7,9,0,6,0,0,9,0,0,9,0,6,0,0,0,0,0,140,0,1,16,0,16,3,14,2,0,16,18,0,16,0,0,2,2,1,18,0,0,0,0,0,5,0,0,140,0,177,0,140,1,16,157,230,92,236,ACS
Math82,1,63,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,72,72,0,0,3,1,1,0,2,0,0,4,4,0,3,1,2,1,0,0,3,0,0,0,0,0,2,0,0,42,0,54,0,0,0,5,16,65,56,65,ACS
Math85,2,74,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,72,38,4,0,4,0,4,8,0,0,0,4,4,0,4,0,4,0,0,0,4,0,2,72,0,0,2,0,0,84,0,56,0,0,0,5,16,65,56,65,ACS
Math89,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,28,57,9,57,ACS
Math90,0,37,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,28,0,0,0,0,2,0,1,0,1,2,2,1,1,0,2,2,0,0,3,0,0,0,0,0,0,1,0,0,0,48,0,0,1,1,28,57,9,57,ACS
Math93,1,119,2,0,0,0,0,0,0,0,0,1,47,70,2,0,0,0,70,0,0,0,0,9,0,0,0,0,0,0,0,20,56,0,55,1,5,0,4,57,57,4,42,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,1,2,65,114,67,114,ACS
Math99,2,301,1,5,0,0,5,0,0,0,0,0,15,15,0,8,0,0,15,0,5,0,0,8,0,0,0,0,180,180,10,0,19,0,19,28,0,0,0,19,19,0,19,0,10,0,0,0,10,0,0,0,0,0,5,0,0,140,0,214,180,140,0,17,190,287,101,293,ACS
Chart12,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,7,0,1,11,11,0,1,0,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,1,1,31,57,9,57,arja
Chart3,1,58,1,0,0,0,0,0,1,0,0,0,8,11,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,6,2,2,12,12,2,7,0,0,5,0,0,3,0,0,0,1,1,0,0,0,0,0,37,0,0,1,1,31,57,9,57,arja
Chart5,0,233,0,1,0,0,1,0,0,0,0,0,2,8,0,1,0,1,8,0,1,8,0,1,0,0,0,0,36,36,4,0,7,0,2,8,7,5,0,13,13,0,9,4,0,4,0,0,11,0,0,28,2,0,1,1,0,171,0,230,0,42,0,14,254,408,257,427,arja
Lang20,0,148,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,4,0,0,0,0,0,0,144,112,0,0,6,0,6,0,6,0,0,6,6,0,6,6,4,4,0,0,10,0,0,112,0,2,0,2,0,104,0,144,0,168,0,6,86,228,72,228,arja
Lang35,0,112,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,112,0,0,0,6,143,228,36,228,arja
Lang45,1,58,1,0,0,0,0,0,0,0,0,0,4,7,1,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,5,0,0,1,0,7,7,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,1,28,57,9,57,arja
Math39,0,19,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,31,36,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,31,0,56,31,31,0,1,28,57,9,57,arja
Math53,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,3,3,1,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,37,0,0,1,1,28,57,9,57,arja
Math58,0,148,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,4,0,4,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,168,0,0,4,10,121,150,124,176,arja
Math73,1,58,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,1,1,0,9,9,3,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,31,57,9,57,arja
Math86,1,17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,26,0,0,2,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,26,0,0,0,1,28,57,9,57,arja
Time15,0,148,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,118,72,0,0,8,0,8,6,0,0,0,8,8,0,8,4,2,0,0,0,4,0,0,0,0,0,4,0,0,156,0,174,84,56,0,8,118,179,76,179,arja
Lang43,1,58,1,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,2,7,0,7,2,1,2,0,10,10,0,8,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,37,0,0,1,1,31,57,9,57,CapGen
Math65,1,89,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,108,3,0,8,0,6,11,2,2,0,10,10,0,10,2,4,0,0,0,10,0,0,0,0,0,1,0,0,42,0,106,0,0,0,8,24,73,120,73,CapGen
Lang10,0,56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,1,0,1,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,3,89,114,62,114,DeepRepair
Lang22,0,222,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,12,0,12,0,12,24,0,0,0,12,12,12,12,0,0,0,0,0,12,0,0,0,0,0,6,6,0,168,0,168,216,168,0,13,135,298,90,244,DeepRepair
Lang24,0,37,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,36,56,1,0,2,0,2,2,1,0,1,3,3,0,1,2,2,2,0,0,2,0,0,53,0,0,1,1,0,42,0,28,0,0,0,1,28,57,9,57,DeepRepair
Lang7,0,65,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,28,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,70,36,36,0,3,66,114,84,114,DeepRepair
Lang26,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,31,0,36,0,42,0,3,18,18,36,36,elixir
Lang33,2,74,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,72,0,0,4,0,4,0,2,0,2,4,4,0,2,4,2,4,0,0,2,0,0,0,0,0,0,2,0,84,0,52,0,0,0,5,35,64,18,66,elixir
Lang57,0,74,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,84,0,0,0,3,55,114,62,114,elixir
Time15,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,59,42,28,0,1,31,57,10,57,elixir
Math73,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,25,40,0,20,0,25,25,0,20,15,15,5,0,10,20,0,5,0,0,0,0,0,0,0,0,210,0,0,0,11,270,282,155,259,genprog
Chart24,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,1,5,5,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,28,57,9,57,jaid
Chart26,1,37,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,36,28,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,2,0,0,1,0,0,36,0,0,0,1,0,42,1,28,0,0,0,1,28,57,9,57,jaid
Chart9,0,74,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,72,56,0,0,2,0,0,2,0,0,0,2,2,0,2,2,2,0,0,0,2,0,2,56,0,0,2,0,0,56,0,56,0,0,0,5,16,65,56,65,jaid
Closure126,0,65,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,64,56,0,0,0,0,2,0,0,0,0,2,2,0,0,2,1,2,0,0,1,0,0,31,0,0,0,2,0,28,0,56,27,28,0,3,66,114,56,114,jaid
Closure18,0,96,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,2,0,2,0,0,0,0,62,72,0,0,0,0,2,0,2,0,0,2,2,0,0,2,0,6,0,0,0,0,0,56,0,0,0,2,2,62,0,56,54,56,0,3,59,114,16,114,jaid
Closure31,0,96,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,0,0,2,0,2,2,0,0,0,56,72,0,0,0,0,2,0,2,0,0,2,2,0,0,2,0,8,0,0,0,0,0,54,0,0,0,2,2,54,0,56,54,56,0,3,59,114,106,114,jaid
Closure33,1,58,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,4,1,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,37,0,0,1,1,28,57,9,57,jaid
Closure40,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,28,0,36,0,0,1,3,35,35,31,31,jaid
Lang33,2,74,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,72,0,0,4,0,4,0,2,0,2,4,4,0,2,4,2,4,0,0,2,0,0,0,0,0,0,2,0,84,0,52,0,0,0,5,35,64,18,66,jaid
Lang38,0,280,0,6,0,0,0,0,1,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,1,8,1,0,0,10,10,0,8,0,0,2,0,0,7,0,0,0,0,0,6,6,0,252,0,205,0,0,1,20,158,242,101,245,jaid
Lang51,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,59,0,0,0,1,28,57,9,57,jaid
Lang55,0,95,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,28,0,3,6,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,0,7,0,44,0,0,0,5,35,64,18,66,jaid
Math32,0,65,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,1,0,1,0,1,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,56,0,0,0,5,39,88,56,65,jaid
Math5,1,58,1,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,1,6,0,6,3,4,2,0,6,8,0,6,0,0,2,2,1,8,0,0,0,0,0,0,0,0,0,0,37,0,0,1,1,28,57,9,57,jaid
Math50,0,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,4,1,2,0,3,3,0,2,2,0,1,0,0,2,0,0,0,0,0,1,0,0,60,0,87,0,0,0,5,16,65,56,65,jaid
Math53,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,3,3,1,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,37,0,0,1,1,28,57,9,57,jaid
Math80,0,37,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0,0,0,0,1,1,0,42,0,28,0,0,0,1,28,57,9,57,jaid
Math85,1,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,36,19,2,0,2,0,2,4,0,0,0,2,2,0,2,0,2,0,0,0,2,0,1,36,0,0,1,0,0,42,0,28,0,0,0,3,8,8,28,28,jaid
Chart5,0,93,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,3,0,1,3,0,1,0,0,0,0,36,36,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,4,0,0,28,0,0,1,1,0,87,0,84,0,42,0,8,101,105,84,163,nopol
Lang44,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,84,0,0,0,0,0,0,0,177,0,0,0,9,103,132,30,75,nopol
Lang58,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,56,0,0,0,0,0,0,0,118,0,0,0,5,75,104,20,66,nopol
Math50,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,5,56,85,20,66,nopol
Chart9,0,74,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,72,56,0,0,2,0,0,2,0,0,0,2,2,0,2,2,2,0,0,0,2,0,2,56,0,0,2,0,0,56,0,56,0,0,0,3,89,114,16,114,SequenceR
Closure73,0,56,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,0,0,0,5,16,65,16,65,SequenceR
Math5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,0,3,24,24,42,42,SequenceR
Math82,0,26,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,36,36,0,0,2,1,0,0,1,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,28,0,0,0,3,35,35,8,8,SequenceR
Closure115,0,84,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,6,6,0,3,3,3,3,0,0,6,0,0,0,0,0,0,0,0,84,0,84,0,0,0,8,116,165,24,73,SimFix
Lang16,1,58,1,0,0,0,0,0,0,0,0,3,16,16,2,7,0,4,15,1,0,0,0,8,0,3,3,0,0,0,0,0,9,1,4,0,1,2,0,10,11,0,11,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,37,0,0,1,1,7,57,9,57,SimFix
Lang27,0,65,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,36,36,0,0,2,0,2,2,0,1,0,2,2,0,2,1,1,0,0,0,2,0,2,36,0,0,1,1,0,35,0,56,0,0,0,5,16,65,56,65,SimFix
Lang39,0,37,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,36,36,0,0,2,0,3,0,1,0,1,3,3,0,2,3,2,1,0,0,3,0,0,28,0,0,1,1,0,7,0,26,56,36,0,1,28,57,9,57,SimFix
Lang41,0,74,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,84,0,0,2,6,62,62,84,84,SimFix
Lang60,2,74,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,28,72,0,0,4,0,6,2,2,0,2,6,6,0,2,0,0,4,0,0,6,0,0,7,0,0,2,2,0,84,2,52,0,0,0,6,48,48,16,16,SimFix
Math35,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2,2,56,114,18,114,SimFix
Math50,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,4,0,2,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,60,0,28,0,0,0,3,54,54,8,8,SimFix
Math63,0,333,0,9,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0,18,0,18,0,18,36,0,0,0,18,18,18,18,0,0,0,0,0,18,0,0,0,0,0,9,0,0,0,0,378,0,0,0,26,293,440,141,288,SimFix
Math71,0,56,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,72,2,0,2,0,2,6,0,0,0,4,4,2,2,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,56,0,0,0,2,38,114,18,114,SimFix
Time7,0,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,1,0,1,0,2,3,0,0,0,2,2,0,1,1,1,1,0,0,2,0,0,36,0,0,0,1,0,36,0,36,31,36,0,3,54,54,31,31,SimFix
Closure126,0,65,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,64,56,0,0,0,0,2,0,0,0,0,2,2,0,0,2,1,2,0,0,1,0,0,31,0,0,0,2,0,28,0,56,27,28,0,5,39,88,56,65,SketchFix
Lang55,0,95,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,28,0,3,6,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,0,7,0,44,0,0,0,5,35,64,18,66,SketchFix
Chart24,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,0,2,0,1,0,0,2,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,36,0,7,0,42,0,3,55,55,7,7,ssFix
Lang33,2,74,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,72,0,0,4,0,4,0,2,0,2,4,4,0,2,4,2,4,0,0,2,0,0,0,0,0,0,2,0,84,0,52,0,0,0,5,35,64,18,66,ssFix
Math50,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,4,0,2,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,60,0,28,0,0,0,2,7,57,9,57,ssFix
